run_dir,algo,env,ep,gap,maxgap,N,gamma,eval_ep,IDM,ACTOR,done,subgoal,critic,tasks_idm,tasks_actor
20260522_091614_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,10,0,1,0.99,500,0.83,0.66,1,diag_gaussian,dqc,"1.00,0.96,1.00,0.24,0.94","1.00,0.84,0.70,0.22,0.54"
20260522_120150_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,20,0,1,0.99,500,0.00,0.00,1,diag_gaussian,dqc,"0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00"
20260522_145205_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,20,0,1,0.99,500,0.00,0.00,1,diag_gaussian,dqc,"0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00"
20260522_174210_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,20,0,1,0.99,500,0.00,0.00,1,diag_gaussian,dqc,"0.00,0.00,0.00,0.00,0.00","0.00,0.00,0.00,0.00,0.00"
20260522_203216_seed0_cube-double-play-v0,DQC,cube-double-play-v0,500,20,0,1,0.99,500,0.00,0.00,1,diag_gaussian,dqc,"0.00,0.00,0.00,0.00,0.00","0.02,0.00,0.00,0.00,0.00"
20260522_232204_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,0,0,1,0.99,500,0.96,0.29,1,diag_gaussian,dqc,"1.00,0.98,0.98,0.96,0.88","0.32,0.26,0.38,0.28,0.20"
20260523_015752_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,0,0,1,0.99,500,0.98,0.39,1,diag_gaussian,dqc,"0.96,1.00,0.96,1.00,0.96","0.40,0.24,0.68,0.24,0.38"
20260523_043345_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,0,0,1,0.99,500,0.99,0.72,1,diag_gaussian,dqc,"1.00,1.00,1.00,0.98,0.98","0.76,0.62,0.82,0.78,0.64"
20260523_070834_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,0,0,1,0.99,500,0.98,0.91,1,diag_gaussian,dqc,"1.00,1.00,0.98,0.90,1.00","0.92,0.90,1.00,0.90,0.84"
20260523_094303_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,1,0,1,0.99,500,1.00,0.80,1,diag_gaussian,dqc,"1.00,1.00,1.00,0.98,1.00","0.78,0.78,0.80,0.70,0.92"
20260523_121754_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,1,0,1,0.99,500,0.97,0.72,1,diag_gaussian,dqc,"0.96,0.98,0.92,1.00,1.00","1.00,0.60,0.98,0.32,0.68"
20260523_145310_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,1,0,1,0.99,500,1.00,0.36,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,1.00","0.44,0.26,0.26,0.48,0.38"
20260523_172916_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,1,0,1,0.99,500,0.99,0.95,1,diag_gaussian,dqc,"0.98,1.00,1.00,0.98,0.98","0.90,0.92,1.00,0.96,0.98"
20260523_200419_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,5,0,1,0.99,500,1.00,0.33,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,0.98","0.38,0.20,0.46,0.26,0.34"
20260523_223955_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,5,0,1,0.99,500,1.00,0.59,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,1.00","0.64,0.60,0.92,0.28,0.52"
20260524_011512_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,5,0,1,0.99,500,1.00,0.59,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,1.00","0.50,0.70,0.46,0.40,0.88"
20260524_035019_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,5,0,1,0.99,500,1.00,0.92,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,1.00","0.96,0.78,1.00,0.98,0.86"
20260524_062437_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,10,0,1,0.99,500,0.90,0.59,1,diag_gaussian,dqc,"0.94,0.94,0.96,0.86,0.78","0.62,0.62,0.82,0.32,0.58"
20260524_085953_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,10,0,1,0.99,500,0.92,0.24,1,diag_gaussian,dqc,"0.92,1.00,1.00,0.90,0.80","0.24,0.16,0.42,0.06,0.34"
20260524_113519_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,10,0,1,0.99,500,0.99,0.56,1,diag_gaussian,dqc,"1.00,1.00,1.00,1.00,0.94","0.74,0.44,0.72,0.22,0.70"
20260524_141051_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,10,0,1,0.99,500,0.99,0.80,1,diag_gaussian,dqc,"1.00,1.00,1.00,0.98,0.98","0.80,0.68,0.88,0.88,0.74"
20260524_164543_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,20,0,1,0.99,500,0.38,0.10,1,diag_gaussian,dqc,"0.62,0.24,0.54,0.10,0.38","0.14,0.02,0.00,0.12,0.20"
20260524_192254_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,20,0,1,0.99,500,0.43,0.10,1,diag_gaussian,dqc,"0.32,0.52,0.60,0.40,0.32","0.04,0.18,0.02,0.08,0.18"
20260524_220038_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,20,0,1,0.99,500,0.81,0.44,1,diag_gaussian,dqc,"0.78,0.82,0.96,0.74,0.74","0.54,0.30,0.72,0.20,0.44"
20260525_005813_seed0_cube-single-play-v0,DQC,cube-single-play-v0,500,20,0,1,0.99,500,0.94,0.50,1,diag_gaussian,dqc,"0.98,0.98,1.00,0.88,0.88","0.50,0.48,0.80,0.44,0.26"
20260609_223527_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,1000,5,0,1,0.995,,,,0,diag_gaussian,dqc,,
20260610_100319_seed0_cube-triple-play-v0,DQC,cube-triple-play-v0,1000,5,0,1,0.995,1000,0.65,0.61,1,diag_gaussian,dqc,"1.00,0.94,0.76,0.34,0.20","1.00,0.84,0.82,0.32,0.08"
